num_node,node_min_capacity,capacity_multiplier,capacity_skew,num_copy,strategy,supply,num_stored,num_loss
12000,1024,128,1,3,Vanilla,138022794,6600000,184827
12000,1024,128,1,3,Vanilla,138022794,6700000,195812
12000,1024,128,1,3,Vanilla,138022794,6800000,207029
12000,1024,128,1,3,Vanilla,138022794,6900000,218737
12000,1024,128,1,3,Vanilla,138022794,7000000,230608
12000,1024,128,1,3,Vanilla,138022794,7100000,242750
12000,1024,128,1,3,Vanilla,138022794,7200000,255555
12000,1024,128,1,3,Vanilla,138022794,7300000,268528
12000,1024,128,1,3,Vanilla,138022794,7400000,281857
12000,1024,128,1,3,Vanilla,138022794,7500000,295444
12000,1024,128,1,3,Vanilla,138022794,7600000,309386
12000,1024,128,1,3,Vanilla,138022794,7700000,323573
12000,1024,128,1,3,Vanilla,138022794,7800000,338042
12000,1024,128,1,3,Vanilla,138022794,7900000,352923
12000,1024,128,1,3,Vanilla,138022794,8000000,368188
12000,1024,128,1,3,Vanilla,138022794,8100000,383805
12000,1024,128,1,3,Vanilla,138022794,8200000,399744
12000,1024,128,1,3,Vanilla,138022794,8300000,416012
12000,1024,128,1,3,Vanilla,138022794,8400000,432586
12000,1024,128,1,3,Vanilla,138022794,8500000,449263
12000,1024,128,1,3,Vanilla,138022794,8600000,466390
12000,1024,128,1,3,Vanilla,138022794,8700000,484029
12000,1024,128,1,3,Vanilla,138022794,8800000,502216
12000,1024,128,1,3,Vanilla,138022794,8900000,520168
12000,1024,128,1,3,Vanilla,138022794,9000000,538408
12000,1024,128,1,3,Vanilla,138022794,9100000,557025
12000,1024,128,1,3,Vanilla,138022794,9200000,576087
12000,1024,128,1,3,Vanilla,138022794,9300000,595512
12000,1024,128,1,3,Vanilla,138022794,9400000,614834
12000,1024,128,1,3,Vanilla,138022794,9500000,634163
12000,1024,128,1,3,Vanilla,138022794,9600000,654025
12000,1024,128,1,3,Vanilla,138022794,9700000,673949
12000,1024,128,1,3,Vanilla,138022794,9800000,694356
12000,1024,128,1,3,Vanilla,138022794,9900000,715080
12000,1024,128,1,3,Vanilla,138022794,10000000,736106
12000,1024,128,1,3,Vanilla,132817838,100000,0
12000,1024,128,1,3,Vanilla,132817838,200000,0
12000,1024,128,1,3,Vanilla,132817838,300000,0
12000,1024,128,1,3,Vanilla,132817838,400000,0
12000,1024,128,1,3,Vanilla,132817838,500000,0
12000,1024,128,1,3,Vanilla,132817838,600000,0
12000,1024,128,1,3,Vanilla,132817838,700000,0
12000,1024,128,1,3,Vanilla,132817838,800000,0
12000,1024,128,1,3,Vanilla,132817838,900000,0
12000,1024,128,1,3,Vanilla,132817838,1000000,0
12000,1024,128,1,3,Vanilla,132817838,1100000,0
12000,1024,128,1,3,Vanilla,132817838,1200000,3
12000,1024,128,1,3,Vanilla,132817838,1300000,12
12000,1024,128,1,3,Vanilla,132817838,1400000,26
